uri,playlist,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:3QHPmLGt2ir9eyTD2Iq76H,Colombian Salsa Top 100,Me Tienes Vigilado,Discos Fuentes Los Niches Collection,2008-11-25,0,Los Niches,spotify:artist:4dzrrgCtBy3bRHMCtjHoKN,2,-6.573,0,0.0827,0.686,0.000608,0.0555,0.901,178.807,292667,4
spotify:track:4I7l6qkC8u0An6gdbfDOIw,Colombian Salsa Top 100,Pa'l Bailador,Noches Latinas 3,2007-05-22,0,Joe Arroyo,spotify:artist:7BFnoFhJjLWcsqmN3Hizqg,1,-7.378,1,0.0483,0.583,0.000726,0.319,0.96,101.712,272627,4
spotify:track:0Mmrg7jBCfUz72joYix4Y8,Colombian Salsa Top 100,Tu Lo Mataste,Greatest Romantic Salsa Classics 1,2000-03-21,0,The Latin Brothers,spotify:artist:2AiZXMqpVlCDnz3trZbWaK,2,-7.374,0,0.0465,0.461,0.0142,0.256,0.961,130.378,274547,4
spotify:track:4WFNHLH7gsipaSs6YmG2gY,Colombian Salsa Top 100,Obsesión (feat. Charlie Zaa & Willy García),Sentimiento Anacobero,2014-02-18,18,Alquimia,spotify:artist:1UwZz1gjQPWb8zMm8qY7Hr,5,-3.998,0,0.0334,0.737,0,0.0891,0.888,116.983,175520,4
spotify:track:2E9QnG9MSmI4ic9OynnhEn,Colombian Salsa Top 100,Ritmo Sabroso,"Frukazos, Vol. 1",2014-11-20,0,Alfredo De La Fe,spotify:artist:5lr20svxz2IYxCnKGPO0sY,1,-4.497,1,0.0878,0.192,0.326,0.0561,0.958,103.983,284320,4
spotify:track:2LcJJ3oOMsTFNrHPNjOx6g,Colombian Salsa Top 100,Perdóname,Dos Decadas de Oro,2010-03-15,38,Grupo Galé,spotify:artist:4152ZUds7gXsqYQexUonDP,8,-6.554,1,0.0376,0.505,0.00166,0.0796,0.96,176.751,284800,4
spotify:track:1cguxrH9mfCivHmNYQSXPv,Colombian Salsa Top 100,De Amor Ya No Se Muere,Salsa Pa' La Playa 2000,2015-03-03,0,Charlie Cardona,spotify:artist:7s6h7WYi8AfhxI2Dt1WQyM,5,-17.844,0,0.0466,0.202,0.00017,0.0562,0.97,90.118,238600,4
spotify:track:4gKmpUb1sNsVTim4sRTMCq,Colombian Salsa Top 100,La Mandragora,Discos Fuentes Salsa All Stars- La Biblia De La Salsa Vol. 1 & 2,2007-02-28,0,Chico Cervantes Y Su Banda,spotify:artist:1TayRnurziz0kiOlY1itt8,5,-6.491,1,0.0537,0.296,0.000524,0.0754,0.914,118.269,191560,4
spotify:track:3x5fHAPN37XKRTqBLoiVGN,Colombian Salsa Top 100,Por Retenerte,Tributo a La Salsa Colombiana,2014-02-01,56,Alberto Barros,spotify:artist:33ZuRLa8CHXZVPJXdQCcul,7,-4.694,1,0.0375,0.445,2.91e-06,0.0792,0.923,171.695,325160,4
spotify:track:5Qg0q32KZjnvx1T4ejp1Ge,Colombian Salsa Top 100,Ven a Medellín,"Mano A Mano de la Salsa, Vol. 1: Grupo Galé vs. Grupo Niche",2007-02-01,33,Grupo Galé,spotify:artist:4152ZUds7gXsqYQexUonDP,1,-6.2,1,0.0333,0.276,0.000564,0.123,0.681,99.292,334880,4
spotify:track:07K1MrOnOsVRAAgtL2WHSS,Colombian Salsa Top 100,Colombia Tierra Querida,Sin Salsa No Hay Paraíso,2010-03-30,22,El Gran Combo De Puerto Rico,spotify:artist:6nnspeopmJAG07xOxHmqTu,0,-3.464,1,0.039,0.507,0.000226,0.122,0.961,96.826,279907,4
spotify:track:0GslYldqnAuZVwpUOxQDT6,Colombian Salsa Top 100,La Temperatura,30 Mejores,2006-05-11,17,Quinto Mayor,spotify:artist:2kXtZRGCwR2yAbdDITF0IM,8,-3.556,1,0.0335,0.282,0.0735,0.307,0.941,143.469,270893,4
spotify:track:0k8oTLh0yNjGlwdCqYEk10,Colombian Salsa Top 100,Sobre las Olas,"Greatest Salsa Classics Of Colombia, Vol. 1",2015-07-01,15,The Latin Brothers,spotify:artist:2AiZXMqpVlCDnz3trZbWaK,5,-9.246,1,0.045,0.448,4.52e-06,0.0872,0.916,108.388,203907,4
